EngagementID,ContentID,ContentType,Likes,EngagementDate,CampaignID,ProductID,Views,Clicks
1,39,BLOG,190,30.08.2023,1,9,1883,671
2,48,BLOG,114,28.03.2023,18,20,5280,532
3,16,VIDEO,32,08.12.2023,7,14,1905,204
4,43,VIDEO,17,21.01.2025,19,20,2766,257
6,32,SOCIALMEDIA,648,18.06.2023,18,19,8237,1641
7,33,SOCIALMEDIA,1,01.10.2025,12,2,750,34
8,47,BLOG,1,31.03.2025,17,6,891,35
9,48,BLOG,123,19.03.2024,13,16,5571,1527
10,4,BLOG,25,03.12.2023,15,15,4279,297
11,38,SOCIALMEDIA,29,26.05.2024,19,6,4297,234
12,29,SOCIALMEDIA,396,15.06.2023,3,10,7877,2037
13,14,VIDEO,12,04.02.2025,12,18,1796,136
14,2,SOCIALMEDIA,317,26.08.2023,16,2,6837,2251
15,16,SOCIALMEDIA,0,20.10.2025,6,19,36,1
16,2,SOCIALMEDIA,276,06.07.2023,17,16,5980,1227
17,35,BLOG,9,17.05.2024,18,10,563,104
18,12,VIDEO,0,26.10.2024,19,8,321,15
20,35,BLOG,0,07.10.2024,4,6,41,7
21,26,BLOG,7,28.12.2024,1,6,1037,111
22,11,VIDEO,357,04.04.2024,12,16,5543,1288
26,31,VIDEO,2,04.06.2025,20,20,1742,71
27,42,VIDEO,72,27.07.2024,4,3,3225,337
28,29,SOCIALMEDIA,7,22.12.2023,2,16,165,48
29,15,VIDEO,0,02.08.2025,17,20,58,2
31,1,SOCIALMEDIA,2,10.06.2025,4,4,1079,44
32,37,BLOG,0,04.11.2025,19,16,441,9
33,44,BLOG,3,21.06.2025,1,7,1415,76
34,1,SOCIALMEDIA,29,18.04.2023,11,4,1223,127
35,2,VIDEO,1,26.07.2025,13,15,704,17
37,32,VIDEO,400,24.01.2023,7,1,9759,3095
39,24,VIDEO,373,02.09.2023,11,11,4881,1204
40,18,VIDEO,215,02.04.2024,4,4,3222,793
41,8,SOCIALMEDIA,193,01.06.2024,2,12,4654,1083
42,16,BLOG,840,23.07.2023,17,8,6771,2617
45,9,BLOG,4,19.10.2024,15,12,797,103
46,5,BLOG,11,29.09.2024,1,1,2549,228
47,41,VIDEO,33,08.06.2024,3,12,1145,130
48,19,VIDEO,15,26.01.2025,17,8,1648,163
50,43,SOCIALMEDIA,11,23.06.2024,15,14,1066,110
52,41,BLOG,3,22.04.2025,3,15,1617,70
53,41,VIDEO,2,20.09.2024,16,15,599,39
54,40,BLOG,0,22.09.2025,13,17,706,34
55,50,BLOG,18,01.04.2025,18,6,2387,201
56,24,SOCIALMEDIA,1,19.12.2025,10,5,922,39
57,8,VIDEO,3,12.01.2025,7,20,944,91
58,2,VIDEO,0,07.11.2025,17,9,578,11
59,37,VIDEO,0,17.07.2025,10,1,219,7
60,1,SOCIALMEDIA,0,15.10.2025,19,7,404,15
61,47,BLOG,72,24.01.2024,16,7,2847,528
62,15,SOCIALMEDIA,2,29.05.2025,18,10,1521,33
64,49,VIDEO,0,03.12.2025,1,15,111,3
65,3,BLOG,30,05.10.2023,14,12,524,94
66,28,VIDEO,23,12.09.2024,4,5,1493,141
68,33,VIDEO,5,20.10.2024,3,19,239,43
69,50,BLOG,68,11.05.2024,2,8,2935,303
70,12,SOCIALMEDIA,10,30.04.2024,12,11,228,49
71,37,VIDEO,459,04.03.2023,11,14,4368,1156
72,19,BLOG,657,06.01.2023,17,1,6991,2499
73,10,SOCIALMEDIA,0,06.04.2025,18,3,40,4
75,11,VIDEO,12,01.05.2024,13,18,565,137
76,48,BLOG,545,11.03.2023,14,3,6205,2834
77,26,SOCIALMEDIA,143,27.08.2023,20,18,1671,482
78,44,SOCIALMEDIA,2,07.06.2025,17,2,713,44
79,36,VIDEO,397,26.04.2023,9,16,3632,1500
80,15,VIDEO,8,04.01.2025,19,12,1535,243
82,49,SOCIALMEDIA,142,26.04.2023,8,20,1354,425
83,48,VIDEO,14,20.02.2025,9,2,1933,158
84,24,SOCIALMEDIA,116,22.05.2023,18,14,6319,832
85,34,VIDEO,0,08.05.2025,18,20,36,3
86,37,BLOG,5,06.04.2025,3,7,1576,45
87,8,BLOG,111,27.07.2024,2,2,3142,602
88,28,SOCIALMEDIA,121,01.10.2023,12,7,1360,440
89,21,SOCIALMEDIA,1,27.11.2024,2,13,214,15
90,35,VIDEO,595,25.05.2023,7,9,3338,1402
91,8,BLOG,9,26.05.2024,7,13,379,95
92,35,VIDEO,3,21.05.2025,3,8,516,49
93,23,SOCIALMEDIA,147,19.02.2023,1,17,2989,1283
94,33,VIDEO,389,18.02.2023,15,17,2595,933
96,17,BLOG,32,15.07.2024,14,13,712,142
97,34,BLOG,3,01.07.2025,16,7,696,47
98,44,BLOG,0,20.08.2025,11,8,231,10
99,26,BLOG,119,15.04.2024,17,4,3511,479
